hash|author|date|comment
ef2a380c|Felix Bünemann|Mon Mar 11 03:28:06 2019 +0100|fix(scheduler): getNow detection can randomly fail (#9667)
781c7051|Evan You|Sat Mar 9 02:44:08 2019 +0800|fix: should use fallback for scoped slots with single falsy v-if
9313cf91|Evan You|Sat Mar 9 02:03:19 2019 +0800|fix: should consider presence of normal slots when caching normalized scoped slots
da77d6a9|Felix Bünemann|Fri Mar 8 18:04:28 2019 +0100|fix(scheduler): fix getNow check in IE9 (#9647)
0b57380f|GU Yiling|Sat Mar 9 01:00:47 2019 +0800|fix: v-bind object should be overridable by single bindings (#9653)
731e4d0e|DSha|Wed Mar 6 05:46:56 2019 +0800|types: use normalized type for `RenderContext.scopedSlots` (#9624)
0c4c78bf|vue-bot|Tue Mar 5 16:44:12 2019 -0500|chore: update sponsors [ci skip] (#9622)
6ad99796|Jagannath Bhat|Mon Mar 4 22:23:59 2019 +0530|docs: fix spelling and grammatical errors (#9619)
d123c7e4|Evan You|Fri Mar 1 10:03:38 2019 -0500|build: release 2.6.8
869a8197|Evan You|Fri Mar 1 10:03:33 2019 -0500|build: build 2.6.8
372d71cb|ULIVZ|Fri Mar 1 23:00:01 2019 +0800|docs: clarify docs about using template compiler (#9508)
cbad54aa|Jason|Fri Mar 1 22:56:13 2019 +0800|fix(compiler): set end location for incomplete elements (#9598)
1574ade6|Luxiaosong|Fri Mar 1 06:54:51 2019 +0800|test: Add a unit test for "$off event and this event added by $once" (#9550)
38825ff6|Evan You|Thu Feb 28 17:52:20 2019 -0500|test: add a test case for ssr max stack size limit
571a4880|Evan You|Thu Feb 28 17:46:28 2019 -0500|fix: further adjust max stack size
03c13de3|Evan You|Thu Feb 28 17:39:10 2019 -0500|refactor: remove unncessary condition
ed341137|Markus Oberlehner|Thu Feb 28 23:37:44 2019 +0100|fix: handle async component when parent is toggled before resolve (#9572)
241eea19|Kael|Fri Mar 1 09:03:28 2019 +1100|fix(types): allow scoped slots to return a single VNode (#9563)
f3330161|Gcaufy|Fri Mar 1 05:54:07 2019 +0800|fix(types): update this for nextTick api (#9541)
2277b232|Evan You|Thu Feb 28 14:36:47 2019 -0500|fix: scoped slots dynamic check should include v-for on element itself
7912f75c|Haoqun Jiang|Fri Mar 1 01:10:38 2019 +0800|fix: avoid compression of unicode sequences by using regexps (#9595)
060c3b98|DSha|Thu Feb 28 22:36:47 2019 +0800|fix: fix modifier parsing for dynamic argument with deep path (#9585)
2ec5b640|vue-bot|Wed Feb 27 09:30:04 2019 -0500|chore: update sponsors [ci skip] (#9588)
59d8579f|Evan You|Thu Feb 21 17:06:20 2019 -0500|build: release 2.6.7
875d6ac4|Evan You|Thu Feb 21 17:06:16 2019 -0500|build: build 2.6.7
