hash|author|date|comment
6ff4c9de1|Nicolas Gallagher|Thu Jun 20 17:10:54 2019 -0700|[Flare] Press: fix stale deactivation region state (#15931)
7a4c3e3b7|Dan Abramov|Thu Jun 20 20:20:09 2019 +0100|Make global names more obscure (#15941)
270dc2e4d|Sebastian Markbåge|Thu Jun 20 11:03:47 2019 -0700|Add forwards and backwards options to SuspenseList (#15918)
5368f7316|Dominic Gannaway|Thu Jun 20 17:00:09 2019 +0100|[Flare] Fix keyboard keyup regression (#15938)
3d0af2aea|Dan Abramov|Thu Jun 20 16:13:18 2019 +0100|Don't consider require-like calls to be likely HOCs (#15940)
d4f384d25|Dan Abramov|Thu Jun 20 14:29:00 2019 +0100|[Fresh] Throw in prod and change annotation (#15939)
ff91bfa58|Sunil Pai|Thu Jun 20 13:50:53 2019 +0100|[act] reset scope depth on synchronous errors (#15937)
e61c9e0a2|Dominic Gannaway|Thu Jun 20 13:01:56 2019 +0100|[Flare] Fix Press retention state regression (#15936)
76864f7ff|Sebastian Markbåge|Wed Jun 19 19:34:28 2019 -0700|Add SuspenseList Component (#15902)
e9d0a3ff2|Dan Abramov|Thu Jun 20 00:12:43 2019 +0100|[Fresh] Track mounted roots via DevTools Hook (#15928)
35ef78de3|Andrew Clark|Wed Jun 19 16:05:07 2019 -0700|[Scheduler] Integrated timers (#15911)
3af91eb8c|Andrew Clark|Wed Jun 19 15:57:33 2019 -0700|[Scheduler] Use continuation pattern for posting host callback (#15910)
b62ae1642|Dominic Gannaway|Wed Jun 19 21:12:14 2019 +0100|[Flare] Rename createEventComponent -> createEvent (#15929)
f4e1ac8ca|Nicolas Gallagher|Wed Jun 19 11:00:44 2019 -0700|[Flare] Press events include defaultPrevented (#15916)
4a7a39b59|Dominic Gannaway|Wed Jun 19 13:27:10 2019 +0100|[Flare] Add RN build step for ReactTypes (#15926)
0bd755114|Christoph Nakazawa|Wed Jun 19 11:05:28 2019 +0100|Remove mention of Prepack (#15922)
689beef6f|Dominic Gannaway|Tue Jun 18 23:41:00 2019 +0100|[Flare] Move unstable_createEventComponent to ReactDOM (#15890)
98454371a|Moti Zilberman|Tue Jun 18 19:38:33 2019 +0100|Construct Error at invariant call site for clearer stack traces (#15877)
f97b95166|Nicolas Gallagher|Tue Jun 18 11:34:34 2019 -0700|[Flare] add disableContextMenu to Press (#15909)
cd98e63b4|Dan Abramov|Mon Jun 17 16:00:29 2019 +0100|[Fresh] Fall back to Map/Set if Weak equivalents are not available (#15907)
a3c5b1fb8|Dan Abramov|Mon Jun 17 15:06:43 2019 +0100|[Fresh] Rename findHostNodesForHotUpdate to findHostInstancesForHotUpdate (#15904)
7985bf7d5|Sebastian Markbåge|Sat Jun 15 16:09:17 2019 -0700|Remove outdated test renderer comments (#15898)
f0156766d|Dan Abramov|Sat Jun 15 19:36:46 2019 +0100|[Fresh] react-fresh => react-refresh (#15888)
801feed95|Brian Vaughn|Fri Jun 14 18:08:23 2019 -0700|Interaction tracing works across hidden and SSR hydration boundaries (#15872)
