hash|author|date|comment
b6e8d1931|George Kalpakas|Mon Jun 24 15:04:07 2019 +0300|test(service-worker): remove obsolete async test helpers (#30977)
6c0cca093|Alan|Thu Jun 27 15:55:47 2019 +0200|docs: couple of small UI fixes throughout some documents (#31155)
f2360aab9|Kristiyan Kostadinov|Wed Jun 26 09:21:57 2019 +0200|fix(ivy): incorrect namespace for root node created through ViewContainerRef (#31232)
d7b417267|George Kalpakas|Thu Jun 27 10:19:01 2019 +0000|build(docs-infra): upgrade cli command docs sources to e819d9b77 (#31307)
641a4ea76|Kara Erickson|Wed Jun 26 14:06:11 2019 -0700|release: cut the v8.1.0-rc.0 release
da4f7fbe1|Kara Erickson|Wed Jun 26 13:56:16 2019 -0700|docs: release notes for the v8.0.3 release
9c87d223e|Joey Perrott|Wed Jun 26 12:13:50 2019 -0700|ci: target default pool for linux RBE executions (#31297)
2be061a96|Paul Gschwendtner|Wed Jun 26 19:39:06 2019 +0200|docs: add "ivy" and "zone.js" to known scopes in contributing guide (#31291)
385154467|George Kalpakas|Wed Jun 26 21:33:50 2019 +0300|style: fix code style in several files (#31295)
6b7b4ee89|George Kalpakas|Wed Jun 26 21:22:03 2019 +0300|build: fix formatting tasks by ignoring the `zone.js/` directory (#31295)
279e74603|George Kalpakas|Wed Jun 26 21:19:42 2019 +0300|refactor: move negative glob patterns of files to format close to their positive counterparts (#31295)
850390174|George Kalpakas|Wed Jun 26 21:09:32 2019 +0300|build: downgrade `gulp-clang-format` to 1.0.23 (#31295)
e01d697ee|Paul Gschwendtner|Wed Jun 26 18:17:07 2019 +0200|build: filter out changelog entries for zone.js from framework changelog (#31277)
59d2edfeb|Paul Gschwendtner|Wed Jun 26 10:39:23 2019 +0200|build: allow "zone.js" as scope for commit messages (#31277)
a8f3b317f|George Kalpakas|Wed Jun 26 10:18:46 2019 +0000|build(docs-infra): upgrade cli command docs sources to 01a7186bb (#31281)
3788ebb71|Pete Bacon Darwin|Wed Jun 26 09:16:15 2019 +0100|fix(ivy): ngcc - don't crash if entry-points have multiple invalid dependencies (#31276)
32c760f5e|Alex Rickabaugh|Mon Jun 24 13:14:05 2019 -0700|fix(ivy): don't mask errors by calling lifecycle hooks after a crash (#31244)
f690a4e0a|Pete Bacon Darwin|Sat May 25 21:34:40 2019 +0100|fix(ivy): ngcc - do not analyze files outside the current package (#30591)
42036f4b7|Pete Bacon Darwin|Sat May 25 20:53:52 2019 +0100|refactor(ivy): ngcc - pass `bundle` to `DecorationAnalyzer` (#30591)
74f637f98|Pete Bacon Darwin|Sat May 25 20:38:33 2019 +0100|refactor(ivy): ngcc - no  need to pass `isCore` explicitly (#30591)
e94385984|Pete Bacon Darwin|Sat May 25 17:46:07 2019 +0100|refactor(ivy): ngcc - expose the `entryPoint` from the `EntryPointBundle` interface (#30591)
